Precip(m3)	SWE(m3)	BCSurf(m3)	BCGW(m3)	Canopy(m3)	Surface(m3)	Channel(m3)	SoilW(m3)	SoilL1(m3)	SoilL2(m3)	SoilL3(m3)	RZW(m3)	GW(m3)	ET(m3)	EvapS(m3)	EvapC(m3)	EvapI(m3)	EvapT(m3)	Leakage(m3)	SrfOut(m3)	GWOut(m3)	SrftoCh	GWtoCh	Rchrge	SatExt	MBErr	2H_MBE
28617.3	0	36304.6	0	2605.34	0	1557.19	1.84633e+06	57935	239973	1.20013e+06	257228	348292	3904.36	3376.09	574.453	377.508	150.768	0	34255.9	71.6794	0.00342734	83.0022	89076.2	0	1.72531e-13	1.75354
28906.4	4.84503e-15	38126.2	0	2654.22	0	1641.06	1.8464e+06	58019.1	239972	1.20013e+06	257312	348281	4061.23	3531.15	600.138	377.508	152.572	0	35973.9	76.4907	0.00342734	88.9204	89076.2	0	1.84649e-13	1.73732
28906.4	0	40165.6	0	2654.22	0	1763.82	1.84628e+06	57907.7	239972	1.20013e+06	257200	348271	4172.6	3642.52	617.327	377.508	152.572	0	37879.4	81.356	0.00342734	94.9346	89076.2	0	1.8445e-13	1.70543
28906.4	0	42597.1	0	2654.22	0	1945.95	1.84612e+06	57764.8	239972	1.20013e+06	257057	348260	4315.52	3785.44	640.001	377.508	152.572	0	40112.2	86.2746	0.00342734	101.045	89076.2	0	1.47371e-13	1.66811
28906.4	0	45197.6	0	2654.22	0	2028.69	1.84584e+06	57490.1	239972	1.20013e+06	256783	348248	4590.17	4060.09	686.336	377.508	152.572	0	42589.9	91.2462	0.00342734	107.253	89076.2	0	1.71697e-13	1.63889
29195.6	7.28448e-16	47791.1	0	2703.09	0	2078.15	1.84602e+06	57679	239972	1.20013e+06	256971	348237	4641.58	4111.4	696.562	377.508	152.676	0	45129.9	96.2702	0.00342734	113.559	89076.2	0	1.46946e-13	1.74007
29195.6	0	50746.4	0	2703.09	0	2219.12	1.84591e+06	57585.3	239972	1.20013e+06	256878	348226	4735.27	4205.08	712.102	377.508	152.676	0	47935.2	101.346	0.00342734	119.963	89076.2	0	1.71171e-13	1.80902
29195.6	0	54148.4	0	2703.09	0	2390	1.84567e+06	57359.5	239972	1.20013e+06	256652	348214	4961.09	4430.91	748.292	377.508	152.676	0	51136.6	106.474	0.00342734	126.465	89076.2	0	1.58661e-13	1.91439
29195.6	0	57483.3	0	2681.9	0	2402.42	1.84549e+06	57183.6	239972	1.20013e+06	256476	348202	5158.17	4606.8	781.986	398.698	152.676	0	54432	111.652	0.00342734	133.067	89076.2	0	1.70567e-13	1.95238
29195.6	0	60617.9	0	2681.9	0	2338.47	1.84533e+06	57038.7	239972	1.20013e+06	256331	348190	5303.05	4751.68	808.548	398.698	152.676	0	57610.7	116.882	0.00342734	139.769	89076.2	0	1.70288e-13	1.96935
